sample,svm_linear,svm_radial,ranger,WinRate,PickRate,Role,BanRate
7,0.3019538188277087,0.30728241563055064,NA,1,0,0,0
7,0.458259325044405,0.5399644760213144,NA,0,1,0,0
7,0.6145648312611013,0.6341030195381883,0.5825932504440497,1,1,0,0
7,0.2344582593250444,0.2344582593250444,NA,0,0,1,0
7,0.27886323268206037,0.2984014209591474,0.2841918294849023,1,0,1,0
7,0.5914742451154529,0.6074600355239786,0.5701598579040853,0,1,1,0
7,0.69449378330373,0.7282415630550622,0.6998223801065719,1,1,1,0
7,0.27175843694493784,0.3285968028419183,NA,0,0,0,1
7,0.33570159857904086,0.38010657193605685,0.325044404973357,1,0,0,1
7,0.4724689165186501,0.5506216696269982,0.5417406749555951,0,1,0,1
7,0.6287744227353463,0.6465364120781527,0.6536412078152753,1,1,0,1
7,0.2895204262877442,0.35168738898756663,0.369449378330373,0,0,1,1
7,0.3605683836589698,0.4067495559502664,0.40852575488454707,1,0,1,1
7,0.6092362344582594,0.6163410301953819,0.6465364120781527,0,1,1,1
7,0.6998223801065719,0.7353463587921847,0.7371225577264654,1,1,1,1
8,0.2730496453900709,0.28368794326241137,NA,1,0,0,0
8,0.42907801418439717,0.4946808510638298,NA,0,1,0,0
8,0.6028368794326241,0.6187943262411347,0.5425531914893617,1,1,0,0
8,0.2322695035460993,0.2322695035460993,NA,0,0,1,0
8,0.2695035460992908,0.28368794326241137,0.26595744680851063,1,0,1,0
8,0.5585106382978723,0.5691489361702128,0.5549645390070922,0,1,1,0
8,0.7145390070921985,0.7198581560283688,0.700354609929078,1,1,1,0
8,0.3049645390070922,0.3262411347517731,NA,0,0,0,1
8,0.3280141843971631,0.34574468085106386,0.3262411347517731,1,0,0,1
8,0.4308510638297872,0.526595744680851,0.4716312056737589,0,1,0,1
8,0.6223404255319149,0.625886524822695,0.6702127659574468,1,1,0,1
8,0.31382978723404253,0.34397163120567376,0.35638297872340424,0,0,1,1
8,0.34574468085106386,0.3953900709219858,0.41843971631205673,1,0,1,1
8,0.5602836879432624,0.5656028368794326,0.599290780141844,0,1,1,1
8,0.7198581560283688,0.723404255319149,0.7411347517730497,1,1,1,1
9,0.3049645390070922,0.30851063829787234,NA,1,0,0,0
9,0.4716312056737589,0.526595744680851,NA,0,1,0,0
9,0.6329787234042553,0.6684397163120568,0.5939716312056738,1,1,0,0
9,0.29432624113475175,0.29432624113475175,NA,0,0,1,0
9,0.3173758865248227,0.33687943262411346,0.3351063829787234,1,0,1,0
9,0.5851063829787234,0.599290780141844,0.5904255319148937,0,1,1,0
9,0.7411347517730497,0.7624113475177305,0.7393617021276596,1,1,1,0
9,0.32269503546099293,0.37943262411347517,NA,0,0,0,1
9,0.37943262411347517,0.4095744680851064,0.36524822695035464,1,0,0,1
9,0.49822695035460995,0.5443262411347518,0.5319148936170213,0,1,0,1
9,0.6719858156028369,0.6826241134751773,0.6702127659574468,1,1,0,1
9,0.36524822695035464,0.42021276595744683,0.4308510638297872,0,0,1,1
9,0.40602836879432624,0.4397163120567376,0.50177304964539,1,0,1,1
9,0.5975177304964538,0.6205673758865248,0.6648936170212766,0,1,1,1
9,0.7570921985815603,0.7695035460992907,0.774822695035461,1,1,1,1
10,0.299645390070922,0.30851063829787234,NA,1,0,0,0
10,0.46808510638297873,0.5124113475177305,NA,0,1,0,0
10,0.6453900709219859,0.6578014184397163,0.5957446808510638,1,1,0,0
10,0.2801418439716312,0.2801418439716312,NA,0,0,1,0
10,0.3191489361702128,0.32269503546099293,0.3191489361702128,1,0,1,0
10,0.5567375886524822,0.5567375886524822,0.5726950354609929,0,1,1,0
10,0.7322695035460993,0.7287234042553191,0.7163120567375887,1,1,1,0
10,0.3191489361702128,0.3333333333333333,NA,0,0,0,1
10,0.3723404255319149,0.3953900709219858,0.35106382978723405,1,0,0,1
10,0.48226950354609927,0.526595744680851,0.4946808510638298,0,1,0,1
10,0.6684397163120568,0.6702127659574468,0.6879432624113475,1,1,0,1
10,0.33687943262411346,0.34574468085106386,0.38120567375886527,0,0,1,1
10,0.3829787234042553,0.44148936170212766,0.4574468085106383,1,0,1,1
10,0.5585106382978723,0.5868794326241135,0.6063829787234043,0,1,1,1
10,0.7464539007092199,0.7411347517730497,0.7393617021276596,1,1,1,1
