"","winr","pbr","Tier"
"1",0.4,0,"C"
"2",0.4,0.0204081632653061,"D"
"3",0.4,0.0408163265306122,"B"
"4",0.4,0.0612244897959184,"B"
"5",0.4,0.0816326530612245,"A"
"6",0.4,0.102040816326531,"S"
"7",0.4,0.122448979591837,"S"
"8",0.4,0.142857142857143,"S"
"9",0.4,0.163265306122449,"S"
"10",0.4,0.183673469387755,"S"
"11",0.4,0.204081632653061,"S"
"12",0.4,0.224489795918367,"S"
"13",0.4,0.244897959183673,"S"
"14",0.4,0.26530612244898,"S"
"15",0.4,0.285714285714286,"S"
"16",0.4,0.306122448979592,"S"
"17",0.4,0.326530612244898,"S"
"18",0.4,0.346938775510204,"S"
"19",0.4,0.36734693877551,"God"
"20",0.4,0.387755102040816,"God"
"21",0.4,0.408163265306122,"God"
"22",0.4,0.428571428571429,"God"
"23",0.4,0.448979591836735,"God"
"24",0.4,0.469387755102041,"God"
"25",0.4,0.489795918367347,"God"
"26",0.4,0.510204081632653,"God"
"27",0.4,0.530612244897959,"God"
"28",0.4,0.551020408163265,"God"
"29",0.4,0.571428571428571,"God"
"30",0.4,0.591836734693878,"God"
"31",0.4,0.612244897959184,"God"
"32",0.4,0.63265306122449,"God"
"33",0.4,0.653061224489796,"God"
"34",0.4,0.673469387755102,"God"
"35",0.4,0.693877551020408,"God"
"36",0.4,0.714285714285714,"God"
"37",0.4,0.73469387755102,"God"
"38",0.4,0.755102040816326,"God"
"39",0.4,0.775510204081633,"God"
"40",0.4,0.795918367346939,"God"
"41",0.4,0.816326530612245,"God"
"42",0.4,0.836734693877551,"God"
"43",0.4,0.857142857142857,"God"
"44",0.4,0.877551020408163,"God"
"45",0.4,0.897959183673469,"God"
"46",0.4,0.918367346938775,"God"
"47",0.4,0.938775510204082,"God"
"48",0.4,0.959183673469388,"God"
"49",0.4,0.979591836734694,"God"
"50",0.4,1,"God"
"51",0.404081632653061,0,"C"
"52",0.404081632653061,0.0204081632653061,"D"
"53",0.404081632653061,0.0408163265306122,"B"
"54",0.404081632653061,0.0612244897959184,"B"
"55",0.404081632653061,0.0816326530612245,"A"
"56",0.404081632653061,0.102040816326531,"S"
"57",0.404081632653061,0.122448979591837,"S"
"58",0.404081632653061,0.142857142857143,"S"
"59",0.404081632653061,0.163265306122449,"S"
"60",0.404081632653061,0.183673469387755,"S"
"61",0.404081632653061,0.204081632653061,"S"
"62",0.404081632653061,0.224489795918367,"S"
"63",0.404081632653061,0.244897959183673,"S"
"64",0.404081632653061,0.26530612244898,"S"
"65",0.404081632653061,0.285714285714286,"S"
"66",0.404081632653061,0.306122448979592,"S"
"67",0.404081632653061,0.326530612244898,"S"
"68",0.404081632653061,0.346938775510204,"S"
"69",0.404081632653061,0.36734693877551,"God"
"70",0.404081632653061,0.387755102040816,"God"
"71",0.404081632653061,0.408163265306122,"God"
"72",0.404081632653061,0.428571428571429,"God"
"73",0.404081632653061,0.448979591836735,"God"
"74",0.404081632653061,0.469387755102041,"God"
"75",0.404081632653061,0.489795918367347,"God"
"76",0.404081632653061,0.510204081632653,"God"
"77",0.404081632653061,0.530612244897959,"God"
"78",0.404081632653061,0.551020408163265,"God"
"79",0.404081632653061,0.571428571428571,"God"
"80",0.404081632653061,0.591836734693878,"God"
"81",0.404081632653061,0.612244897959184,"God"
"82",0.404081632653061,0.63265306122449,"God"
"83",0.404081632653061,0.653061224489796,"God"
"84",0.404081632653061,0.673469387755102,"God"
"85",0.404081632653061,0.693877551020408,"God"
"86",0.404081632653061,0.714285714285714,"God"
"87",0.404081632653061,0.73469387755102,"God"
"88",0.404081632653061,0.755102040816326,"God"
"89",0.404081632653061,0.775510204081633,"God"
"90",0.404081632653061,0.795918367346939,"God"
"91",0.404081632653061,0.816326530612245,"God"
"92",0.404081632653061,0.836734693877551,"God"
"93",0.404081632653061,0.857142857142857,"God"
"94",0.404081632653061,0.877551020408163,"God"
"95",0.404081632653061,0.897959183673469,"God"
"96",0.404081632653061,0.918367346938775,"God"
"97",0.404081632653061,0.938775510204082,"God"
"98",0.404081632653061,0.959183673469388,"God"
"99",0.404081632653061,0.979591836734694,"God"
"100",0.404081632653061,1,"God"
"101",0.408163265306122,0,"C"
"102",0.408163265306122,0.0204081632653061,"D"
"103",0.408163265306122,0.0408163265306122,"B"
"104",0.408163265306122,0.0612244897959184,"B"
"105",0.408163265306122,0.0816326530612245,"A"
"106",0.408163265306122,0.102040816326531,"S"
"107",0.408163265306122,0.122448979591837,"S"
"108",0.408163265306122,0.142857142857143,"S"
"109",0.408163265306122,0.163265306122449,"S"
"110",0.408163265306122,0.183673469387755,"S"
"111",0.408163265306122,0.204081632653061,"S"
"112",0.408163265306122,0.224489795918367,"S"
"113",0.408163265306122,0.244897959183673,"S"
"114",0.408163265306122,0.26530612244898,"S"
"115",0.408163265306122,0.285714285714286,"S"
"116",0.408163265306122,0.306122448979592,"S"
"117",0.408163265306122,0.326530612244898,"S"
"118",0.408163265306122,0.346938775510204,"S"
"119",0.408163265306122,0.36734693877551,"God"
"120",0.408163265306122,0.387755102040816,"God"
"121",0.408163265306122,0.408163265306122,"God"
"122",0.408163265306122,0.428571428571429,"God"
"123",0.408163265306122,0.448979591836735,"God"
"124",0.408163265306122,0.469387755102041,"God"
"125",0.408163265306122,0.489795918367347,"God"
"126",0.408163265306122,0.510204081632653,"God"
"127",0.408163265306122,0.530612244897959,"God"
"128",0.408163265306122,0.551020408163265,"God"
"129",0.408163265306122,0.571428571428571,"God"
"130",0.408163265306122,0.591836734693878,"God"
"131",0.408163265306122,0.612244897959184,"God"
"132",0.408163265306122,0.63265306122449,"God"
"133",0.408163265306122,0.653061224489796,"God"
"134",0.408163265306122,0.673469387755102,"God"
"135",0.408163265306122,0.693877551020408,"God"
"136",0.408163265306122,0.714285714285714,"God"
"137",0.408163265306122,0.73469387755102,"God"
"138",0.408163265306122,0.755102040816326,"God"
"139",0.408163265306122,0.775510204081633,"God"
"140",0.408163265306122,0.795918367346939,"God"
"141",0.408163265306122,0.816326530612245,"God"
"142",0.408163265306122,0.836734693877551,"God"
"143",0.408163265306122,0.857142857142857,"God"
"144",0.408163265306122,0.877551020408163,"God"
"145",0.408163265306122,0.897959183673469,"God"
"146",0.408163265306122,0.918367346938775,"God"
"147",0.408163265306122,0.938775510204082,"God"
"148",0.408163265306122,0.959183673469388,"God"
"149",0.408163265306122,0.979591836734694,"God"
"150",0.408163265306122,1,"God"
"151",0.412244897959184,0,"C"
"152",0.412244897959184,0.0204081632653061,"D"
"153",0.412244897959184,0.0408163265306122,"B"
"154",0.412244897959184,0.0612244897959184,"B"
"155",0.412244897959184,0.0816326530612245,"A"
"156",0.412244897959184,0.102040816326531,"S"
"157",0.412244897959184,0.122448979591837,"S"
"158",0.412244897959184,0.142857142857143,"S"
"159",0.412244897959184,0.163265306122449,"S"
"160",0.412244897959184,0.183673469387755,"S"
