"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"101","Malphite","Tank","MID","C",42.42,"-6.2",0.4922,0.1668,0.0099,0.0273,2.39,"13_1"
"102","Malphite","Tank","SUPPORT","D",38.28,"4.93",0.4769,0.1105,0.0069,0.0294,1.95,"13_1"
"103","Malzahar","Mage","MID","B",44.19,"-4.92",0.4966,0.8323,0.0161,0.0064,2.29,"13_1"
"104","Malzahar","Mage","TOP","D",37.96,"999NEW",0.4949,0.1086,0.0021,0.0066,2,"13_1"
"105","Maokai","Tank","JUNGLE","God",82.72,"26.88",0.5396,0.7782,0.1229,0.5336,2.98,"13_1"
"106","Maokai","Tank","SUPPORT","S",55.52,"4.61",0.5257,0.187,0.0251,0.5397,2.21,"13_1"
"107","Master Yi","Assassin","JUNGLE","A",48.02,"-6.66",0.4769,0.8902,0.0657,0.0735,2.15,"13_1"
"108","Miss Fortune","Marksman","ADC","D",38.38,"-6.06",0.4863,0.7661,0.0565,0.0186,2.23,"13_1"
"109","Miss Fortune","Marksman","SUPPORT","D",31.18,"-7.88",0.4252,0.2148,0.0145,0.0186,1.95,"13_1"
"110","Mordekaiser","Fighter","TOP","A",49.86,"-7.13",0.4843,0.7281,0.0429,0.0335,1.79,"13_1"
"111","Mordekaiser","Fighter","JUNGLE","C",41.8,"-8.91",0.4733,0.1878,0.0141,0.0366,2.28,"13_1"
"112","Morgana","Mage","SUPPORT","A",53.03,"-4.02",0.5001,0.8959,0.0539,0.1085,2.4,"13_1"
"113","Nami","Support","SUPPORT","S",59.48,"-12.83",0.4973,0.9964,0.0795,0.0439,3.21,"13_1"
"114","Nasus","Fighter","TOP","A",49.57,"-3.11",0.5081,0.8399,0.0296,0.019,1.89,"13_1"
"115","Nautilus","Tank","SUPPORT","S",61.2,"-6.71",0.498,0.9843,0.1045,0.1038,2.19,"13_1"
"116","Neeko","Mage","MID","B",45.37,"-3.09",0.5097,0.4826,0.0094,0.0036,2.43,"13_1"
"117","Neeko","Mage","SUPPORT","C",42.44,"-2.52",0.5032,0.3762,0.0065,0.0036,1.95,"13_1"
"118","Neeko","Mage","TOP","C",40.33,"0.17",0.5109,0.1073,0.002,0.0037,1.92,"13_1"
"119","Nidalee","Assassin","JUNGLE","S",58.49,"5.51",0.5034,0.9432,0.0913,0.0622,3.15,"13_1"
"120","Nilah","Marksman","ADC","D",38.56,"-9.94",0.5257,0.9629,0.017,0.027,2.3,"13_1"
"121","Nocturne","Assassin","JUNGLE","A",48.07,"-2.06",0.499,0.8053,0.0225,0.0096,2.66,"13_1"
"122","Nocturne","Assassin","MID","D",35.7,"-9.61",0.468,0.1066,0.0023,0.0088,2.27,"13_1"
"123","Nunu","Tank","JUNGLE","A",51.62,"3.41",0.505,0.8245,0.0355,0.0078,3,"13_1"
"124","Nunu","Tank","MID","C",40.09,"-5.82",0.4774,0.1375,0.006,0.0079,2.66,"13_1"
"125","Olaf","Fighter","TOP","S",53.74,"-0.91",0.5312,0.8512,0.0306,0.0257,1.82,"13_1"
"126","Olaf","Fighter","JUNGLE","C",40.21,"-2.54",0.4738,0.1069,0.0032,0.0261,2.16,"13_1"
"127","Orianna","Mage","MID","B",46.86,"-0.6",0.4944,0.9454,0.0217,0.0016,2.64,"13_1"
"128","Ornn","Tank","TOP","S",53.51,"2.9",0.5005,0.8922,0.0361,0.0035,2.47,"13_1"
"129","Pantheon","Fighter","MID","B",46.41,"-2.24",0.4976,0.3586,0.0252,0.0089,2.23,"13_1"
"130","Pantheon","Fighter","TOP","B",44.67,"1.75",0.4997,0.2704,0.0204,0.0089,1.89,"13_1"
"131","Pantheon","Fighter","SUPPORT","C",39.73,"-1.34",0.475,0.2895,0.0199,0.0089,1.83,"13_1"
"132","Poppy","Tank","MID","A",53.11,"999NEW",0.5572,0.1161,0.0052,0.0125,2.59,"13_1"
"133","Poppy","Tank","TOP","A",51.71,"3.43",0.5308,0.4025,0.0185,0.0117,2.27,"13_1"
"134","Poppy","Tank","JUNGLE","B",45.45,"-0.13",0.4859,0.4788,0.018,0.0117,2.64,"13_1"
"135","Pyke","Support","SUPPORT","S",61.28,"-6.19",0.5021,0.9323,0.0946,0.1447,2.27,"13_1"
"136","Qiyana","Assassin","MID","B",43.56,"3.19",0.4914,0.8085,0.0214,0.0056,2.06,"13_1"
"137","Qiyana","Assassin","JUNGLE","D",31.42,"-0.37",0.4167,0.1462,0.0041,0.0051,2.17,"13_1"
"138","Quinn","Marksman","TOP","A",47.82,"3.23",0.5299,0.8372,0.0128,0.0065,1.96,"13_1"
"139","Rakan","Support","SUPPORT","A",52.04,"0.35",0.5093,0.988,0.0364,0.0028,2.84,"13_1"
"140","Rammus","Tank","JUNGLE","A",49.47,"-7.46",0.4968,0.8996,0.024,0.0537,3.05,"13_1"
"141","Rek'Sai","Fighter","JUNGLE","A",48.73,"4.25",0.5067,0.9435,0.0198,0.0196,2.59,"13_1"
"142","Rell","Tank","SUPPORT","A",47.74,"-6.63",0.5101,0.9748,0.0211,0.0037,2.37,"13_1"
"143","Renata Glasc","Support","SUPPORT","B",46.89,"-6.65",0.4969,0.9741,0.0237,0.0084,2.59,"13_1"
"144","Renekton","Fighter","TOP","S",53.58,"3.65",0.4669,0.7471,0.062,0.0472,1.73,"13_1"
"145","Renekton","Fighter","MID","B",46.68,"-1.19",0.51,0.2522,0.021,0.0433,2.03,"13_1"
"146","Rengar","Assassin","TOP","S",54.09,"4.5",0.5141,0.6724,0.0365,0.0403,1.99,"13_1"
"147","Rengar","Assassin","JUNGLE","C",42.62,"-0.92",0.4781,0.2763,0.0109,0.0344,2.4,"13_1"
"148","Riven","Fighter","TOP","B",46.61,"-0.8",0.5022,0.8739,0.0258,0.0026,1.82,"13_1"
"149","Rumble","Fighter","TOP","A",51.35,"0.32",0.5035,0.4737,0.0301,0.0207,2.32,"13_1"
"150","Rumble","Fighter","MID","B",47.26,"-0.45",0.4865,0.3715,0.0277,0.0217,2.65,"13_1"
"151","Rumble","Fighter","JUNGLE","C",42.63,"1.43",0.4679,0.1493,0.0101,0.0205,2.85,"13_1"
"152","Ryze","Mage","MID","God",67.54,"23.37",0.5096,0.8276,0.0914,0.0476,2.46,"13_1"
"153","Ryze","Mage","TOP","B",47.23,"9.55",0.5123,0.1707,0.0184,0.0445,2.02,"13_1"
"154","Samira","Marksman","ADC","God",95.68,"14.84",0.5267,0.9863,0.1581,0.4417,2.48,"13_1"
"155","Sejuani","Tank","JUNGLE","A",50.6,"-4.73",0.4862,0.7408,0.0439,0.0059,3.28,"13_1"
"156","Sejuani","Tank","TOP","B",45.44,"-5",0.5043,0.2049,0.0125,0.0058,2.38,"13_1"
"157","Senna","Marksman","SUPPORT","C",42.91,"-4.48",0.4815,0.8932,0.0196,0.0036,2.4,"13_1"
"158","Seraphine","Mage","SUPPORT","B",44.41,"-3.93",0.4882,0.7582,0.0228,0.002,2.36,"13_1"
"159","Seraphine","Mage","MID","B",44.05,"999NEW",0.5024,0.1178,0.0021,0.0018,2.8,"13_1"
"160","Seraphine","Mage","ADC","D",38.66,"6.08",0.5194,0.136,0.0032,0.0019,3,"13_1"
"161","Sett","Fighter","TOP","God",68.52,"8.62",0.4976,0.6568,0.088,0.034,1.71,"13_1"
"162","Sett","Fighter","MID","B",47.4,"-1.64",0.5113,0.2347,0.0231,0.034,2.03,"13_1"
"163","Shaco","Assassin","JUNGLE","A",51.57,"1.48",0.4948,0.7074,0.0489,0.148,2.77,"13_1"
"164","Shaco","Assassin","SUPPORT","A",48.2,"0.02",0.5123,0.2247,0.016,0.1591,2.49,"13_1"
"165","Shen","Tank","TOP","S",60.29,"6.32",0.5282,0.8233,0.032,0.0032,3.05,"13_1"
