"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"1785","Annie","Mage","MID","S",54.27,"0.21",0.5306,0.7058,0.0293,0.0196,2.45,"13_9"
"1786","Annie","Mage","SUPPORT","B",45.21,"-3.61",0.4949,0.2666,0.0104,0.0196,2.35,"13_9"
"1787","Aphelios","Marksman","ADC","God",66.64,"5.51",0.4974,0.9859,0.2297,0.0739,2.1,"13_9"
"1788","Ashe","Marksman","ADC","B",46.69,"-2.01",0.5041,0.6469,0.0545,0.0141,2.35,"13_9"
"1789","Ashe","Marksman","SUPPORT","C",42.64,"0.99",0.4761,0.3093,0.0222,0.0141,1.98,"13_9"
"1790","Aurelion Sol","Mage","MID","S",58.1,"5.56",0.5263,0.8563,0.0415,0.0292,2.73,"13_9"
"1791","Azir","Mage","MID","B",44.07,"-0.45",0.5008,0.8617,0.0181,0.004,2.02,"13_9"
"1792","Bard","Support","SUPPORT","B",48,"-2.07",0.4963,0.9702,0.0179,0.0018,2.84,"13_9"
"1793","Bel'Veth","Fighter","JUNGLE","A",52.44,"1.74",0.5271,0.7798,0.0347,0.0179,2.52,"13_9"
"1794","Bel'Veth","Fighter","SUPPORT","A",48.47,"1.98",0.5222,0.1082,0.0042,0.0184,2.32,"13_9"
"1795","Blitzcrank","Tank","SUPPORT","God",91,"-0.68",0.5116,0.9743,0.1325,0.6015,2.33,"13_9"
"1796","Brand","Mage","SUPPORT","B",46.31,"4.69",0.5081,0.6805,0.0174,0.0071,1.79,"13_9"
"1797","Brand","Mage","MID","C",38.65,"-1.03",0.4873,0.2026,0.0057,0.0066,2.02,"13_9"
"1798","Braum","Support","SUPPORT","A",49.84,"-3.19",0.5041,0.99,0.0258,0.0022,2.71,"13_9"
"1799","Caitlyn","Marksman","ADC","C",42.48,"-0.68",0.4745,0.9345,0.0679,0.0345,2.11,"13_9"
"1800","Camille","Fighter","TOP","A",51.56,"0.82",0.4991,0.9166,0.034,0.0087,1.86,"13_9"
"1801","Cassiopeia","Mage","MID","S",54.04,"1.47",0.5269,0.6935,0.0354,0.0638,2.15,"13_9"
"1802","Cassiopeia","Mage","TOP","B",47.44,"-4.83",0.5259,0.2398,0.0136,0.0638,1.92,"13_9"
"1803","Cho'Gath","Tank","TOP","B",43.69,"-0.88",0.5034,0.5618,0.0142,0.0018,2.07,"13_9"
"1804","Cho'Gath","Tank","MID","C",41.06,"-5.18",0.4917,0.1985,0.0059,0.0019,2.33,"13_9"
"1805","Cho'Gath","Tank","ADC","C",39.08,"1.62",0.4953,0.1541,0.0046,0.0019,2.26,"13_9"
"1806","Corki","Marksman","MID","C",39.34,"6.31",0.4924,0.8361,0.0039,3e-04,2.06,"13_9"
"1807","Corki","Marksman","TOP","D",18.28,"999NEW",0.4318,0.1226,3e-04,3e-04,1.45,"13_9"
"1808","Darius","Fighter","TOP","God",74.8,"4.94",0.4855,0.9347,0.0703,0.18,1.75,"13_9"
"1809","Diana","Fighter","MID","B",46,"1.12",0.5156,0.344,0.012,0.0033,2.19,"13_9"
"1810","Diana","Fighter","JUNGLE","B",43.34,"1.52",0.4925,0.6181,0.0236,0.0036,2.44,"13_9"
"1811","Dr. Mundo","Marksman","TOP","A",49.3,"0.46",0.5176,0.8461,0.0198,0.0054,2.05,"13_9"
"1812","Dr. Mundo","Marksman","JUNGLE","C",39.66,"-2.27",0.4955,0.1114,0.003,0.0073,2.44,"13_9"
"1813","Draven","Fighter","ADC","C",41.8,"-3.43",0.4836,0.9379,0.0444,0.0894,2.17,"13_9"
"1814","Ekko","Assassin","JUNGLE","A",53.66,"4.88",0.5134,0.6861,0.045,0.0183,2.84,"13_9"
"1815","Ekko","Assassin","MID","A",49.94,"7.88",0.5213,0.2871,0.0196,0.0181,2.39,"13_9"
"1816","Elise","Mage","JUNGLE","S",57.73,"1.53",0.5151,0.9766,0.0483,0.2062,2.89,"13_9"
"1817","Evelynn","Assassin","JUNGLE","A",52.02,"1.32",0.5167,0.9774,0.0304,0.0248,3,"13_9"
"1818","Ezreal","Marksman","ADC","God",91.06,"-0.7",0.5083,0.967,0.3194,0.2644,2.48,"13_9"
"1819","Fiddlesticks","Mage","JUNGLE","B",47.85,"-2.57",0.5071,0.698,0.0269,0.0147,2.67,"13_9"
"1820","Fiddlesticks","Mage","SUPPORT","B",46.44,"-1.39",0.5125,0.2473,0.0073,0.0152,2.03,"13_9"
"1821","Fiora","Fighter","TOP","God",65.09,"1.03",0.499,0.9669,0.0552,0.1414,1.59,"13_9"
"1822","Fizz","Assassin","MID","S",53.72,"3.45",0.5259,0.9254,0.0293,0.0186,2.5,"13_9"
"1823","Galio","Tank","SUPPORT","B",48.06,"4.59",0.5187,0.1627,0.0045,0.0048,2.36,"13_9"
"1824","Galio","Tank","MID","B",47.67,"-4.79",0.493,0.7799,0.0268,0.0047,2.57,"13_9"
"1825","Gangplank","Fighter","TOP","A",49.95,"-4.36",0.4802,0.8765,0.0373,0.0434,1.83,"13_9"
"1826","Gangplank","Fighter","MID","D",37.1,"-3.42",0.477,0.1158,0.005,0.0452,2.08,"13_9"
"1827","Garen","Fighter","TOP","A",53.45,"-3.77",0.4882,0.8113,0.0403,0.0149,1.97,"13_9"
"1828","Garen","Fighter","MID","A",48.42,"999NEW",0.5329,0.1017,0.0049,0.0146,2.42,"13_9"
"1829","Gnar","Fighter","TOP","B",46.74,"2.2",0.4907,0.9703,0.0289,0.0049,1.79,"13_9"
"1830","Gragas","Fighter","TOP","S",55.91,"-4.31",0.4762,0.3797,0.0464,0.0413,2.15,"13_9"
"1831","Gragas","Fighter","JUNGLE","S",55.54,"2.62",0.509,0.5131,0.0514,0.039,3.07,"13_9"
"1832","Gragas","Fighter","MID","B",45.06,"-2.33",0.503,0.103,0.0116,0.0398,2.43,"13_9"
"1833","Graves","Marksman","JUNGLE","A",50.14,"-9.23",0.4823,0.8704,0.0591,0.0292,2.66,"13_9"
"1834","Gwen","Fighter","TOP","A",50.2,"0.19",0.5003,0.9167,0.0335,0.0123,1.64,"13_9"
"1835","Hecarim","Fighter","JUNGLE","B",47.31,"-4.13",0.4861,0.9737,0.0405,0.0122,2.77,"13_9"
"1836","Heimerdinger","Mage","MID","B",46.75,"5.32",0.5379,0.131,0.0043,0.0363,1.95,"13_9"
"1837","Heimerdinger","Mage","SUPPORT","B",45.38,"-2.11",0.4979,0.5793,0.0193,0.0354,1.89,"13_9"
"1838","Heimerdinger","Mage","TOP","D",36.5,"0.61",0.4974,0.2297,0.0082,0.0363,1.59,"13_9"
"1839","Illaoi","Fighter","TOP","S",59.7,"1.47",0.503,0.9322,0.0501,0.0874,1.34,"13_9"
"1840","Irelia","Fighter","TOP","S",58.04,"0.27",0.4917,0.3932,0.0426,0.2172,1.48,"13_9"
"1841","Irelia","Fighter","MID","S",55.37,"-4.11",0.4906,0.589,0.0618,0.2172,1.63,"13_9"
"1842","Ivern","Support","SUPPORT","C",39.76,"16.41",0.4645,0.1317,7e-04,0.002,2.52,"13_9"
"1843","Ivern","Support","JUNGLE","D",34.87,"-3.18",0.4453,0.7481,0.0054,0.0018,3.25,"13_9"
"1844","Janna","Support","SUPPORT","A",49.95,"-1.46",0.5081,0.9829,0.0139,8e-04,3.04,"13_9"
"1845","Jarvan IV","Tank","JUNGLE","S",55.86,"-1.08",0.5045,0.9161,0.0528,0.0456,3.23,"13_9"
"1846","Jax","Fighter","TOP","God",73.38,"2.8",0.4984,0.8217,0.0727,0.1,1.61,"13_9"
"1847","Jax","Fighter","JUNGLE","B",46.84,"-0.11",0.5266,0.1323,0.0104,0.1034,2.39,"13_9"
"1848","Jayce","Fighter","TOP","God",87.48,"-1.71",0.4894,0.8003,0.0936,0.1524,1.71,"13_9"
"1849","Jayce","Fighter","MID","B",46.03,"-6.31",0.5071,0.1665,0.0184,0.1567,2,"13_9"
"1850","Jhin","Marksman","ADC","A",53.08,"-1.09",0.5021,0.9475,0.0878,0.0084,2.97,"13_9"
"1851","Jinx","Marksman","ADC","God",75.85,"-10.88",0.5117,0.991,0.2518,0.1599,2.41,"13_9"
"1852","K'Sante","Fighter","TOP","God",89.36,"10.06",0.4814,0.7737,0.1025,0.0933,1.92,"13_9"
"1853","K'Sante","Fighter","MID","C",42.3,"-1.18",0.4672,0.2104,0.0302,0.086,2.06,"13_9"
"1854","Kai'Sa","Marksman","ADC","S",56.32,"1.02",0.4994,0.9375,0.1373,0.0129,2.54,"13_9"
"1855","Kalista","Marksman","ADC","C",39.79,"5.3",0.4914,0.7994,0.0166,0.0044,2.26,"13_9"
"1856","Kalista","Marksman","TOP","D",31.34,"0.22",0.4887,0.165,0.0033,0.0043,1.45,"13_9"
"1857","Karma","Mage","SUPPORT","S",54.25,"-3.5",0.4733,0.9206,0.0946,0.0546,2.49,"13_9"
"1858","Karthus","Mage","JUNGLE","S",55.77,"-0.34",0.5289,0.841,0.0413,0.1377,2.54,"13_9"
"1859","Kassadin","Assassin","MID","D",38.12,"-3.48",0.4679,0.9283,0.0101,0.0071,2.35,"13_9"
"1860","Katarina","Assassin","MID","S",57.79,"-4.53",0.5052,0.9654,0.0582,0.09,2.36,"13_9"
"1861","Kayle","Fighter","TOP","S",60.78,"13.54",0.4948,0.9399,0.0552,0.0354,1.64,"13_9"
"1862","Kayn","Fighter","JUNGLE","A",50.47,"-5.18",0.495,0.9307,0.0566,0.0244,2.36,"13_9"
"1863","Kennen","Mage","TOP","S",55.97,"-1.5",0.4982,0.8287,0.0404,0.051,1.85,"13_9"
"1864","Kennen","Mage","MID","A",48.5,"1.62",0.5363,0.1485,0.0058,0.034,2.27,"13_9"
"1865","Kha'Zix","Assassin","JUNGLE","God",95.11,"22.14",0.5127,0.9888,0.1495,0.3791,2.7,"13_9"
"1866","Kindred","Marksman","JUNGLE","S",58.04,"4.79",0.5213,0.9638,0.0647,0.0694,2.4,"13_9"
"1867","Kled","Fighter","MID","A",51.47,"9.14",0.5444,0.1646,0.0023,0.0062,2.76,"13_9"
"1868","Kled","Fighter","TOP","B",46.82,"-1.25",0.5153,0.8154,0.0145,0.0063,2.16,"13_9"
"1869","Kog'Maw","Marksman","ADC","B",45.02,"1.35",0.5141,0.8494,0.0281,0.0079,2.3,"13_9"
"1870","LeBlanc","Assassin","MID","God",72.45,"-2.16",0.5016,0.8911,0.0841,0.2872,2.72,"13_9"
"1871","Lee Sin","Fighter","JUNGLE","God",88.24,"-4.31",0.4875,0.9218,0.195,0.1788,2.88,"13_9"
"1872","Leona","Tank","SUPPORT","A",53.26,"-3.46",0.5046,0.9869,0.0591,0.048,2.28,"13_9"
"1873","Lillia","Fighter","JUNGLE","A",49.75,"-4.57",0.5103,0.8803,0.0286,0.0081,2.87,"13_9"
"1874","Lillia","Fighter","TOP","D",32.44,"999NEW",0.484,0.1066,0.0033,0.0083,1.78,"13_9"
"1875","Lissandra","Mage","MID","A",51.12,"-4.34",0.4967,0.9328,0.0425,0.0117,2.35,"13_9"
"1876","Lucian","Marksman","ADC","A",51.33,"3.89",0.5164,0.885,0.0752,0.0256,2.38,"13_9"
"1877","Lulu","Support","SUPPORT","S",54.15,"2.02",0.4726,0.9718,0.0911,0.0217,2.8,"13_9"
"1878","Lux","Mage","SUPPORT","S",58.85,"1.17",0.4924,0.7723,0.1049,0.0851,2.2,"13_9"
"1879","Lux","Mage","MID","A",49.96,"-1.25",0.5039,0.2024,0.0244,0.0851,2.6,"13_9"
"1880","Malphite","Tank","TOP","God",83.08,"-5.25",0.499,0.7688,0.0743,0.1922,2.26,"13_9"
"1881","Malphite","Tank","MID","A",49.65,"1.24",0.5203,0.1401,0.0141,0.2023,2.48,"13_9"
"1882","Malzahar","Mage","MID","A",50.24,"-0.48",0.5279,0.8267,0.0166,0.0072,2.38,"13_9"
"1883","Malzahar","Mage","TOP","C",40.67,"2.96",0.5219,0.1367,0.0027,0.008,1.91,"13_9"
"1884","Maokai","Tank","TOP","A",51.74,"-6.89",0.5141,0.3098,0.0222,0.0117,2.35,"13_9"
"1885","Maokai","Tank","JUNGLE","B",47.92,"0.22",0.5042,0.3376,0.0215,0.0117,3.02,"13_9"
"1886","Maokai","Tank","SUPPORT","B",47.26,"-4.78",0.5004,0.3432,0.0239,0.0117,2.18,"13_9"
"1887","Master Yi","Assassin","JUNGLE","S",62.03,"4.16",0.5071,0.8849,0.0937,0.0956,2.18,"13_9"
"1888","Milio","Support","SUPPORT","God",67.33,"3.35",0.525,0.9922,0.0998,0.117,3.41,"13_9"
"1889","Miss Fortune","Marksman","ADC","B",44.62,"2.64",0.4941,0.8028,0.0565,0.0154,2.2,"13_9"
"1890","Miss Fortune","Marksman","SUPPORT","D",36.22,"2.1",0.4423,0.184,0.0164,0.0171,1.83,"13_9"
"1891","Mordekaiser","Fighter","TOP","S",54.92,"3.09",0.5088,0.875,0.0376,0.0218,1.74,"13_9"
"1892","Morgana","Mage","SUPPORT","A",50.59,"4.51",0.4959,0.8712,0.0445,0.0954,2.36,"13_9"
"1893","Nami","Support","SUPPORT","A",51.31,"0.18",0.5093,0.9909,0.0245,0.0023,2.97,"13_9"
"1894","Nasus","Fighter","TOP","S",55.76,"7.14",0.4966,0.823,0.0432,0.0213,1.83,"13_9"
"1895","Nautilus","Tank","SUPPORT","S",62.55,"1.04",0.4994,0.9058,0.1225,0.1328,2.21,"13_9"
"1896","Neeko","Mage","MID","A",53.65,"10.15",0.5086,0.2876,0.0329,0.252,2.41,"13_9"
"1897","Neeko","Mage","SUPPORT","B",46.93,"1.99",0.4875,0.26,0.0307,0.252,2.03,"13_9"
"1898","Neeko","Mage","JUNGLE","C",41.46,"999NEW",0.4376,0.3768,0.0431,0.252,2.69,"13_9"
"1899","Nidalee","Assassin","JUNGLE","God",86.01,"-0.45",0.5087,0.9512,0.1224,0.3118,3.2,"13_9"
"1900","Nilah","Marksman","ADC","B",45.57,"-2.52",0.5265,0.9628,0.0143,0.0119,2.31,"13_9"
"1901","Nocturne","Assassin","JUNGLE","A",49.9,"-4.45",0.5095,0.8569,0.0347,0.0287,2.63,"13_9"
"1902","Nunu","Tank","JUNGLE","B",46.16,"-1.21",0.4865,0.7895,0.0313,0.0119,2.91,"13_9"
"1903","Nunu","Tank","MID","D",36.71,"-0.79",0.4632,0.1547,0.0049,0.0119,2.48,"13_9"
"1904","Olaf","Fighter","TOP","A",51.36,"0.68",0.5183,0.8996,0.0271,0.0243,1.73,"13_9"
"1905","Orianna","Mage","MID","A",51.01,"-0.85",0.5162,0.9549,0.0223,0.0014,2.66,"13_9"
"1906","Ornn","Tank","TOP","God",77.9,"10.38",0.5357,0.9277,0.0625,0.0278,2.48,"13_9"
"1907","Pantheon","Fighter","MID","A",50.03,"-3.02",0.5004,0.4462,0.0375,0.031,2.22,"13_9"
"1908","Pantheon","Fighter","SUPPORT","B",43.95,"1.54",0.4917,0.2157,0.0173,0.031,1.83,"13_9"
"1909","Pantheon","Fighter","TOP","B",43.84,"-0.31",0.4886,0.2579,0.0222,0.031,1.88,"13_9"
"1910","Poppy","Tank","TOP","God",68.55,"5.48",0.5386,0.5019,0.044,0.0798,2.2,"13_9"
"1911","Poppy","Tank","JUNGLE","A",51.91,"3.16",0.5135,0.4365,0.0329,0.0803,2.9,"13_9"
"1912","Pyke","Support","SUPPORT","S",58.47,"-0.98",0.5038,0.946,0.0877,0.1624,2.2,"13_9"
"1913","Qiyana","Assassin","MID","B",44.94,"-5.77",0.5002,0.7785,0.0232,0.0067,1.96,"13_9"
"1914","Qiyana","Assassin","JUNGLE","D",31.25,"-12.35",0.4484,0.1739,0.0055,0.0072,2.38,"13_9"
"1915","Quinn","Marksman","MID","B",48.24,"7.69",0.5406,0.1202,0.0015,0.0069,2.29,"13_9"
"1916","Quinn","Marksman","TOP","D",38.16,"-6.09",0.4945,0.7791,0.0104,0.0065,1.79,"13_9"
"1917","Rakan","Support","SUPPORT","God",68.14,"0.77",0.5182,0.9881,0.1277,0.0969,2.85,"13_9"
"1918","Rammus","Tank","JUNGLE","A",50.02,"1.22",0.5125,0.8786,0.0204,0.0413,3.16,"13_9"
"1919","Rek'Sai","Fighter","JUNGLE","A",50.55,"0.73",0.529,0.967,0.019,0.0195,2.73,"13_9"
"1920","Rell","Tank","SUPPORT","S",53.81,"1.99",0.543,0.9824,0.0148,0.0042,2.54,"13_9"
"1921","Renata Glasc","Support","SUPPORT","B",46.82,"2.26",0.5012,0.9818,0.0111,0.0031,2.52,"13_9"
"1922","Renekton","Fighter","TOP","B",48,"-3.87",0.4804,0.7507,0.0359,0.0292,1.69,"13_9"
"1923","Renekton","Fighter","MID","C",40.29,"-3.14",0.4917,0.24,0.0115,0.0284,1.9,"13_9"
"1924","Rengar","Assassin","TOP","A",53.58,"4.87",0.517,0.6333,0.0285,0.0558,1.92,"13_9"
"1925","Rengar","Assassin","JUNGLE","C",39.77,"3.2",0.4854,0.3158,0.0126,0.0558,2.41,"13_9"
"1926","Riven","Fighter","TOP","B",46.11,"-3.2",0.4829,0.8927,0.0321,0.0031,1.69,"13_9"
"1927","Rumble","Fighter","TOP","S",54.13,"-0.63",0.5005,0.5295,0.0331,0.057,2.14,"13_9"
"1928","Rumble","Fighter","MID","A",52.22,"5.03",0.5189,0.3888,0.0249,0.0581,2.6,"13_9"
"1929","Ryze","Mage","MID","D",38.26,"0.51",0.472,0.6211,0.0133,0.0026,2.09,"13_9"
"1930","Ryze","Mage","TOP","D",35.35,"-3.85",0.4821,0.3542,0.0077,0.0026,1.95,"13_9"
"1931","Samira","Marksman","ADC","S",56.01,"6.03",0.5269,0.9833,0.0806,0.1834,2.43,"13_9"
"1932","Sejuani","Tank","JUNGLE","A",49.82,"-0.27",0.5014,0.7873,0.0256,0.004,3.35,"13_9"
"1933","Sejuani","Tank","TOP","C",40.51,"-1.19",0.4999,0.1662,0.0058,0.004,2.34,"13_9"
"1934","Senna","Marksman","SUPPORT","B",47.46,"-4.9",0.4796,0.9225,0.0435,0.0114,2.41,"13_9"
"1935","Seraphine","Mage","ADC","A",49.6,"4.08",0.5424,0.1357,0.0032,0.0029,2.88,"13_9"
"1936","Seraphine","Mage","SUPPORT","B",46.45,"5.37",0.4901,0.8091,0.0246,0.0029,2.39,"13_9"
"1937","Sett","Fighter","TOP","S",58.71,"2.08",0.491,0.7216,0.0535,0.0217,1.6,"13_9"
"1938","Sett","Fighter","MID","B",45.07,"1.56",0.5217,0.1364,0.0084,0.0201,1.97,"13_9"
"1939","Sett","Fighter","SUPPORT","C",42.9,"2.2",0.4927,0.1163,0.0062,0.0201,1.93,"13_9"
"1940","Shaco","Assassin","JUNGLE","A",53.03,"-4.35",0.4819,0.7323,0.0537,0.2225,2.73,"13_9"
"1941","Shaco","Assassin","SUPPORT","B",45.45,"-5.14",0.4843,0.2156,0.018,0.2409,2.36,"13_9"
"1942","Shen","Tank","TOP","S",54.75,"-0.52",0.4948,0.8616,0.0285,0.003,2.95,"13_9"
"1943","Shen","Tank","SUPPORT","C",39.84,"999NEW",0.4622,0.1067,0.0033,0.003,2.54,"13_9"
"1944","Shyvana","Fighter","JUNGLE","C",40.86,"-0.62",0.493,0.7156,0.0097,0.0017,2.5,"13_9"
"1945","Shyvana","Fighter","TOP","D",33.56,"-10.82",0.4885,0.2074,0.0026,0.0017,1.87,"13_9"
"1946","Singed","Tank","MID","A",52.77,"3.43",0.5391,0.258,0.0053,0.0022,3.04,"13_9"
"1947","Singed","Tank","TOP","B",43.88,"-2.23",0.5129,0.6403,0.0113,0.0022,2.03,"13_9"
"1948","Singed","Tank","JUNGLE","D",33.98,"1.31",0.4572,0.1014,0.0014,0.0023,2.78,"13_9"
"1949","Sion","Tank","TOP","A",53.5,"-0.03",0.5059,0.807,0.0334,0.005,2.01,"13_9"
"1950","Sivir","Marksman","ADC","C",43.2,"0.92",0.4947,0.9671,0.0368,0.0128,2.37,"13_9"
"1951","Skarner","Fighter","JUNGLE","C",41.14,"-4.11",0.4968,0.6363,0.004,0.0014,2.66,"13_9"
"1952","Skarner","Fighter","TOP","C",41.07,"9.36",0.5031,0.2851,0.0018,0.0014,2.65,"13_9"
"1953","Sona","Support","SUPPORT","A",48.71,"2.84",0.5085,0.9718,0.0138,4e-04,2.65,"13_9"
"1954","Soraka","Support","SUPPORT","A",48.86,"-1.66",0.4959,0.9363,0.0294,0.002,2.66,"13_9"
"1955","Swain","Mage","ADC","S",55.26,"7.15",0.56,0.1501,0.0078,0.0112,3.35,"13_9"
"1956","Swain","Mage","MID","A",49.6,"4.12",0.5174,0.2518,0.0143,0.0112,2.72,"13_9"
"1957","Swain","Mage","SUPPORT","B",47.65,"1.43",0.4983,0.4518,0.0268,0.0119,2.27,"13_9"
"1958","Swain","Mage","TOP","C",42.23,"0.38",0.5067,0.1442,0.0072,0.0112,2.29,"13_9"
"1959","Sylas","Mage","JUNGLE","God",67.84,"2.59",0.5166,0.5064,0.0929,0.2187,2.49,"13_9"
"1960","Sylas","Mage","MID","S",60.21,"-8.14",0.4828,0.3889,0.0738,0.2285,2.05,"13_9"
"1961","Syndra","Mage","MID","A",51.16,"1.88",0.51,0.8921,0.038,0.016,2.12,"13_9"
"1962","Tahm Kench","Support","TOP","B",46.6,"-7.21",0.5122,0.5596,0.0135,0.0034,2.31,"13_9"
"1963","Tahm Kench","Support","SUPPORT","B",45.42,"1.25",0.4987,0.4146,0.0074,0.0029,2.37,"13_9"
"1964","Taliyah","Mage","SUPPORT","C",42.54,"999NEW",0.4947,0.1031,0.0016,0.0018,1.92,"13_9"
"1965","Taliyah","Mage","MID","C",39.14,"-5.53",0.4837,0.4685,0.0079,0.0017,2.13,"13_9"
"1966","Taliyah","Mage","JUNGLE","D",38.28,"-5.78",0.4769,0.3947,0.0074,0.0017,2.67,"13_9"
"1967","Talon","Assassin","MID","S",54.65,"-2.35",0.5103,0.7398,0.0496,0.0398,2.17,"13_9"
"1968","Talon","Assassin","JUNGLE","C",42.68,"-0.52",0.4951,0.2302,0.0141,0.039,2.59,"13_9"
"1969","Taric","Support","SUPPORT","A",50.92,"-0.09",0.5222,0.8931,0.0113,0.001,2.78,"13_9"
"1970","Teemo","Marksman","TOP","S",56.15,"0.39",0.504,0.7533,0.0405,0.0616,1.64,"13_9"
"1971","Thresh","Support","SUPPORT","God",73.22,"-0.01",0.5022,0.9841,0.1815,0.1296,2.52,"13_9"
"1972","Tristana","Marksman","ADC","B",46.41,"-1.73",0.5083,0.6237,0.043,0.017,2.42,"13_9"
"1973","Tristana","Marksman","MID","B",45.17,"-2.61",0.5032,0.3442,0.0231,0.0163,1.91,"13_9"
"1974","Trundle","Fighter","JUNGLE","C",40.54,"5.5",0.4844,0.5926,0.0109,0.002,2.71,"13_9"
"1975","Trundle","Fighter","TOP","D",35.43,"7.07",0.5022,0.3333,0.0065,0.0022,1.42,"13_9"
"1976","Tryndamere","Fighter","TOP","B",47.44,"3.45",0.5236,0.7835,0.017,0.0059,1.8,"13_9"
"1977","Tryndamere","Fighter","MID","B",44.51,"1.37",0.5196,0.1618,0.0034,0.0062,2.18,"13_9"
"1978","Tryndamere","Fighter","JUNGLE","D",24.5,"-8.07",0.4266,0.1347,0.0024,0.0074,1.94,"13_9"
"1979","Twisted Fate","Mage","MID","B",47.8,"-2.5",0.4853,0.9262,0.0383,0.0027,2.31,"13_9"
"1980","Twitch","Marksman","ADC","A",48.48,"3.27",0.5321,0.6387,0.0212,0.0187,2.56,"13_9"
"1981","Twitch","Marksman","SUPPORT","D",37.28,"-3.47",0.4549,0.2646,0.0088,0.0175,1.88,"13_9"
"1982","Udyr","Fighter","JUNGLE","C",42.34,"1.98",0.4969,0.6624,0.0133,0.0035,2.51,"13_9"
"1983","Udyr","Fighter","TOP","D",38.3,"-0.36",0.5045,0.2862,0.0062,0.0038,1.82,"13_9"
"1984","Urgot","Fighter","TOP","B",43.25,"-1.97",0.5093,0.8658,0.0128,0.0017,1.93,"13_9"
"1985","Varus","Marksman","ADC","B",47.59,"-1.67",0.5048,0.8878,0.0626,0.021,2.31,"13_9"
"1986","Vayne","Marksman","ADC","B",44.84,"2.16",0.509,0.6328,0.0377,0.0343,2.17,"13_9"
"1987","Vayne","Marksman","TOP","C",42.24,"-4.5",0.5033,0.3215,0.0183,0.0343,1.46,"13_9"
"1988","Veigar","Mage","MID","B",45.68,"-4.83",0.4986,0.6,0.0227,0.0356,2.15,"13_9"
"1989","Veigar","Mage","ADC","C",42.61,"-4.15",0.5087,0.1838,0.0077,0.0367,2.46,"13_9"
"1990","Veigar","Mage","SUPPORT","C",42.15,"3.16",0.4873,0.1579,0.0065,0.0367,1.93,"13_9"
"1991","Vel'Koz","Mage","SUPPORT","B",48.14,"2.96",0.5182,0.6825,0.0118,0.0015,2.11,"13_9"
"1992","Vel'Koz","Mage","MID","B",43.68,"0.57",0.5066,0.211,0.0039,0.0015,2.43,"13_9"
"1993","Vel'Koz","Mage","ADC","D",29.67,"-2.7",0.4342,0.1207,8e-04,0.0017,2.49,"13_9"
"1994","Vex","Mage","MID","A",52.4,"-0.57",0.5079,0.9499,0.0406,0.0543,2.23,"13_9"
"1995","Vi","Fighter","JUNGLE","A",52.99,"0.75",0.5064,0.9464,0.0526,0.0229,2.63,"13_9"
"1996","Viego","Assassin","JUNGLE","A",51.29,"-5.58",0.4775,0.8697,0.0734,0.0108,2.51,"13_9"
"1997","Viego","Assassin","MID","C",41.68,"-2.51",0.4968,0.1093,0.0084,0.01,2.16,"13_9"
"1998","Viktor","Mage","MID","A",52.27,"-2.34",0.495,0.9089,0.0525,0.0283,2.11,"13_9"
"1999","Vladimir","Mage","MID","B",44.96,"-0.66",0.4939,0.5341,0.019,0.0076,2.38,"13_9"
"2000","Vladimir","Mage","TOP","B",43.73,"-1.34",0.4991,0.4471,0.0163,0.0076,2.04,"13_9"
"2001","Volibear","Fighter","JUNGLE","A",50.99,"3.43",0.5263,0.4412,0.0199,0.0058,2.9,"13_9"
"2002","Volibear","Fighter","TOP","A",49.91,"11.81",0.5099,0.5344,0.0264,0.0057,1.88,"13_9"
"2003","Warwick","Fighter","JUNGLE","A",49.61,"5.49",0.5214,0.526,0.0299,0.0176,2.35,"13_9"
"2004","Warwick","Fighter","TOP","C",43.1,"-1.99",0.4944,0.4812,0.0203,0.0164,1.76,"13_9"
"2005","Wukong","Fighter","JUNGLE","B",45.34,"-1.99",0.4919,0.8221,0.0281,0.01,2.68,"13_9"
"2006","Wukong","Fighter","TOP","D",33.85,"-1.64",0.4832,0.1492,0.0046,0.0104,1.93,"13_9"
"2007","Xayah","Marksman","ADC","S",61.03,"-1.4",0.5173,0.9893,0.1326,0.1326,2.55,"13_9"
"2008","Xerath","Mage","SUPPORT","A",53.07,"0.7",0.507,0.7524,0.0518,0.0824,2.28,"13_9"
"2009","Xerath","Mage","MID","B",44.99,"-2.32",0.4873,0.183,0.0124,0.0828,2.87,"13_9"
"2010","Xin Zhao","Fighter","JUNGLE","B",44.38,"-2.88",0.5039,0.8069,0.0211,0.003,2.33,"13_9"
"2011","Xin Zhao","Fighter","TOP","D",29.99,"-6.82",0.479,0.1313,0.0035,0.0031,1.54,"13_9"
"2012","Yasuo","Fighter","MID","God",67.46,"2.72",0.4952,0.7482,0.1082,0.12,1.7,"13_9"
"2013","Yasuo","Fighter","ADC","C",40.16,"999NEW",0.4969,0.1091,0.0165,0.12,2.08,"13_9"
"2014","Yasuo","Fighter","TOP","D",29.62,"-4.6",0.4362,0.1282,0.0193,0.12,1.36,"13_9"
"2015","Yone","Assassin","MID","God",63.95,"4.14",0.4883,0.652,0.1076,0.0592,1.67,"13_9"
"2016","Yone","Assassin","TOP","S",54.51,"2.86",0.4716,0.3034,0.0523,0.0615,1.47,"13_9"
