,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
58,Heimerdinger,Mage,MID,B,46.7,-1.02,0.5258,0.1667,0.0105,0.0838,1.94,13_1
59,Illaoi,Fighter,TOP,A,51.89,2.04,0.5152,0.9409,0.0410,0.0567,1.37,13_1
60,Irelia,Fighter,TOP,S,56.96,-0.29,0.4916,0.4918,0.0614,0.1329,1.65,13_1
61,Irelia,Fighter,MID,S,55.32,0.84,0.5104,0.4989,0.0601,0.1329,1.86,13_1
62,Ivern,Support,JUNGLE,B,47.56,8.17,0.5111,0.8001,0.0133,0.0047,3.76,13_1
63,Ivern,Support,SUPPORT,D,31.21,1.05,0.4742,0.1209,0.0016,0.0049,2.47,13_1
64,Janna,Support,SUPPORT,S,59.35,-11.27,0.5058,0.9777,0.0673,0.0319,3.21,13_1
65,Jarvan IV,Tank,JUNGLE,B,42.97,2.39,0.4909,0.8828,0.0203,0.0011,3.11,13_1
66,Jax,Fighter,TOP,God,93.25,30.01,0.5173,0.8891,0.1317,0.2500,1.72,13_1
67,Jax,Fighter,JUNGLE,D,36.87,6.47,0.4827,0.1020,0.0145,0.2368,2.18,13_1
68,Jayce,Fighter,TOP,A,52.34,13.31,0.4922,0.7255,0.0509,0.0127,1.81,13_1
69,Jayce,Fighter,MID,A,50.09,6.88,0.5310,0.2591,0.0177,0.0127,2.23,13_1
70,Jhin,Marksman,ADC,God,70.82,2.33,0.5177,0.9227,0.1428,0.0203,3.02,13_1
71,Jinx,Marksman,ADC,B,48.09,-0.57,0.5141,0.9926,0.0727,0.0047,2.33,13_1
72,K'Sante,Fighter,TOP,S,61.19,-15.86,0.4747,0.9491,0.0741,0.1631,1.93,13_1
73,Kai'Sa,Marksman,ADC,God,71.31,-13.89,0.4998,0.9684,0.1763,0.0312,2.45,13_1
74,Kalista,Marksman,ADC,D,30.65,2.16,0.4861,0.9313,0.0280,0.0051,2.24,13_1
75,Karma,Mage,SUPPORT,God,74.18,9.08,0.4958,0.7784,0.1275,0.0476,2.87,13_1
76,Karma,Mage,MID,A,51.87,3.41,0.5115,0.1386,0.0223,0.0476,3.16,13_1
77,Karthus,Mage,MID,C,41.65,3.22,0.4956,0.1157,0.0047,0.0161,2.26,13_1
78,Karthus,Mage,ADC,C,39.75,4.84,0.5354,0.3753,0.0181,0.0186,2.28,13_1
79,Karthus,Mage,JUNGLE,C,39.11,2.92,0.4853,0.4160,0.0185,0.0186,2.54,13_1
80,Kassadin,Assassin,MID,God,94.92,21.87,0.5238,0.9768,0.0819,0.5784,2.68,13_1
81,Katarina,Assassin,MID,A,53.14,-6.39,0.4801,0.9695,0.0689,0.0668,2.32,13_1
82,Kayle,Fighter,TOP,B,42.92,-2.13,0.4943,0.7472,0.0192,0.0038,1.75,13_1
83,Kayle,Fighter,MID,C,41.02,-2.67,0.4945,0.2354,0.0049,0.0041,2.14,13_1
84,Kayn,Fighter,JUNGLE,A,50.52,-9.85,0.4884,0.9721,0.0573,0.0411,2.43,13_1
85,Kennen,Mage,MID,C,39.94,-6.24,0.4866,0.2334,0.0036,0.0018,2.26,13_1
86,Kennen,Mage,TOP,C,39.65,1.43,0.4844,0.7413,0.0116,0.0018,1.89,13_1
87,Kha'Zix,Assassin,JUNGLE,A,51.91,-8.28,0.4986,0.9816,0.0533,0.0231,2.68,13_1
88,Kindred,Marksman,JUNGLE,A,54.53,-8.38,0.4861,0.9694,0.0701,0.0998,2.24,13_1
